genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	start	end	strand	na_length	gene	product	plfam_id	pgfam_id
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.16	HP0018	16932	18272	+	1341		putative lipoprotein	PLF_209_00000202	PGF_01875917
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.17	HP0019	18380	19345	+	966		Chemotaxis protein CheV (EC 2.7.3.-)	PLF_209_00000332	PGF_01496598
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.18	HP0020	19342	20559	+	1218		Carboxynorspermidine decarboxylase (EC 4.1.1.96)	PLF_209_00000386	PGF_00416622
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.19	HP0021	20569	21078	-	510		Lipid A 1-phosphatase LpxE [H.pylori] (EC 3.1.3.-)	PLF_209_00001038	PGF_01867441
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.20		21041	21181	+	141		hypothetical protein	PLF_209_00001454	PGF_01870907
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.21	HP0022	21152	22717	-	1566		Lipid A phosphoethanolamine transferase EptA [H.pylori] (EC 2.7.8.-)	PLF_209_00021303	PGF_01877001
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.22	HP0023	22773	22892	+	120		hypothetical protein	PLF_209_00002399	PGF_01875349
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.23	HP0025	23324	25459	-	2136		Putative outer membrane protein	PLF_209_00008231	PGF_01867670
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.24		25639	25824	-	186		hypothetical protein	PLF_209_00033860	PGF_01886256
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.25		25870	26013	-	144		hypothetical protein	PLF_209_00033367	PGF_01885988
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.26	HP0026	26078	27358	-	1281	gltA	Citrate synthase (si) (EC 2.3.3.1)	PLF_209_00000333	PGF_03036276
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.27	HP0027	27557	28834	+	1278		Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	PLF_209_00000742	PGF_00015701
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.28		28846	28968	-	123		hypothetical protein	PLF_209_00002068	PGF_01876388
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.29	HP0028	28967	29434	+	468		hypothetical protein	PLF_209_00001135	PGF_00256397
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.30	HP0029	29411	30067	-	657		Dethiobiotin synthase BioD (EC 6.3.3.3)	PLF_209_00001030	PGF_03760224
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.31	HP0030	30071	31852	-	1782		hypothetical protein	PLF_209_00000072	PGF_08600095
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.32	HP0031	31961	32374	+	414		hypothetical protein	PLF_209_00001086	PGF_01867859
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.33	HP0032	32405	32680	+	276		ATP-dependent Clp protease adaptor protein ClpS	PLF_209_00001400	PGF_10480676
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.34	HP0033	32680	34905	+	2226		ATP-dependent Clp protease ATP-binding subunit ClpA	PLF_209_00000554	PGF_00016323
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.35	HP0034	34895	35248	+	354		Aspartate 1-decarboxylase (EC 4.1.1.11)	PLF_209_00000254	PGF_00985834
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.36	HP0035	35251	35544	+	294		Nucleoid-associated protein YaaK	PLF_209_00001129	PGF_02141223
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.37	HP0036	35589	36548	+	960		hypothetical protein	PLF_209_00001519	PGF_01871465
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.38	HP0037	36556	37611	+	1056		NADH-ubiquinone oxidoreductase subunit	PLF_209_00000923	PGF_01888891
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.39	HP0038	37738	38475	+	738		Inner membrane protein forms channel for type IV secretion of T-DNA complex, VirB8	PLF_209_00000974	PGF_03073672
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.40		38475	38744	+	270		Outer membrane and periplasm component of type IV secretion of T-DNA complex, has secretin-like domain, VirB9	PLF_209_00000726	PGF_00027694
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.41	HP0039m	38710	39453	+	744		Outer membrane and periplasm component of type IV secretion of T-DNA complex, has secretin-like domain, VirB9	PLF_209_00000726	PGF_00027694
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.42	HP0041	39446	39817	+	372		Inner membrane protein of type IV secretion of T-DNA complex, TonB-like, VirB10	PLF_209_00000873	PGF_00014238
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.43	HP0042	39880	40581	+	702		Inner membrane protein of type IV secretion of T-DNA complex, TonB-like, VirB10	PLF_209_00000873	PGF_00014238
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.44	HP0043	40651	42063	+	1413		Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)	PLF_209_00000744	PGF_09170204
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.45	HP0044	42105	43250	+	1146		GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	PLF_209_00000435	PGF_02415711
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.46	HP0045	43243	44175	+	933		GDP-L-fucose synthetase (EC 1.1.1.271)	PLF_209_00000756	PGF_02827227
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.47		44787	44918	-	132		hypothetical protein	PLF_209_00052951	PGF_08225224
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.48	HP0047	45041	46039	-	999		[NiFe] hydrogenase metallocenter assembly protein HypE	PLF_209_00000586	PGF_00067772
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.49	HP0048	46042	48294	-	2253		[NiFe] hydrogenase metallocenter assembly protein HypF	PLF_209_00000932	PGF_12807605
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.50	HP0049	48291	49283	-	993		Agmatine deiminase (EC 3.5.3.12)	PLF_209_00000132	PGF_00037006
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.51	HP0050	49335	50033	-	699		Adenine-specific methyltransferase (EC 2.1.1.72)	PLF_209_00000062	PGF_08865288
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.52	HP0051	50030	51097	-	1068		DNA-cytosine methyltransferase (EC 2.1.1.37)	PLF_209_00015835	PGF_01889325
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.53		51094	51207	-	114		hypothetical protein	PLF_209_00002465	PGF_02881981
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.54	HP0052	51272	52300	-	1029		putative TYPE II DNA MODIFICATION ENZYME (METHYLTRANSFERASE)	PLF_209_00005698	PGF_01886781
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.55	HP0053	52459	53718	-	1260		hypothetical protein	PLF_209_00001573	PGF_08225224
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.56	HP0054	53715	56186	-	2472		adenine/cytosine DNA methyltransferase	PLF_209_00001421	PGF_00068021
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.57	HP0055	56224	57714	-	1491		Proline/sodium symporter PutP (TC 2.A.21.2.1) @ Propionate/sodium symporter	PLF_209_00000372	PGF_07303950
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.58	HP0056	57741	61298	-	3558		Proline dehydrogenase (EC 1.5.5.2) / Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.2.1.88)	PLF_209_00000094	PGF_00037522
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.59	HP0057	61619	61828	+	210		hypothetical protein	PLF_209_00001251	PGF_01869095
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.60		62637	63143	+	507		hypothetical protein	PLF_209_00001274	PGF_08225224
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.61	HP0059	63145	63999	+	855		hypothetical protein	PLF_209_00000037	PGF_08225224
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.62	HP0060	64016	66457	+	2442		hypothetical protein with 50bp hit to Dihydrolipoamide acetyltransferase	PLF_209_00000020	PGF_03869897
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.63	HP0061	66454	67023	+	570		hypothetical protein	PLF_209_00000660	PGF_12793332
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.64	HP0062	67039	67299	+	261		hypothetical protein	PLF_209_00001264	PGF_01869173
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.65	HP0063	67310	68800	+	1491		hypothetical protein	PLF_209_00041678	PGF_08209992
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.66	HP0064	68770	69189	+	420		hypothetical protein	PLF_209_00001043	PGF_07661997
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.67	HP0065	69191	69544	+	354		hypothetical protein	PLF_209_00001314	PGF_12793332
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.68	HP0066	69537	71963	+	2427		DNA translocase FtsK	PLF_209_00000040	PGF_01068567
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.69	HP0067	72021	72818	-	798		Urease accessory protein UreD	PLF_209_00001131	PGF_00066192
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.70	HP0068	72818	73417	-	600		Urease accessory protein UreG	PLF_209_00000691	PGF_00066214
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.71	HP0069	73446	74210	-	765		Urease accessory protein UreF	PLF_209_00000814	PGF_03679540
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.72	HP0070	74233	74745	-	513	ureE	Urease accessory protein UreE	PLF_209_00001072	PGF_00066195
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.73	HP0071	74747	75334	-	588		Urea channel UreI	PLF_209_00000711	PGF_00066184
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.74		75390	75530	+	141		hypothetical protein	PLF_209_00001805	PGF_01874084
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.75	HP0072	75527	77236	-	1710	ureB	Urease alpha subunit (EC 3.5.1.5)	PLF_209_00000163	PGF_00066215
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.76	HP0073	77240	77956	-	717		Urease gamma subunit (EC 3.5.1.5) / Urease beta subunit (EC 3.5.1.5)	PLF_209_00000908	PGF_06994234
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	tRNA	fig|85962.8.rna.6		78206	78281	-	76		tRNA-Val-GAC		
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.77	HP0074	78302	78775	-	474	lspA	Lipoprotein signal peptidase (EC 3.4.23.36)	PLF_209_00000828	PGF_10049472
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.78	HP0075	78769	80106	-	1338		Phosphoglucosamine mutase (EC 5.4.2.10)	PLF_209_00000345	PGF_01137124
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.79	HP0076	80196	80465	+	270	rpsT	SSU ribosomal protein S20p	PLF_209_00000443	PGF_02454577
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.80	HP0077	80589	81647	+	1059	prfA	Peptide chain release factor 1	PLF_209_00000318	PGF_00030640
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.81		81607	81762	-	156		hypothetical protein	PLF_209_00036579	PGF_00732071
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.82	HP0078	82058	82315	+	258		hypothetical protein	PLF_209_00001276	PGF_01867823
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.83	HP0079	82326	84113	+	1788		outer membrane protein (omp3)	PLF_209_00001287	PGF_01869328
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.84	HP0080	84359	86140	+	1782		dentin sialophosphoprotein preproprotein	PLF_209_00001156	PGF_01868530
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.85		86137	86286	+	150		hypothetical protein	PLF_209_00036230	PGF_08225224
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.86	HP0081	86410	86532	+	123		hypothetical protein	PLF_209_00001448	PGF_08225224
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.87	HP0082	86656	88677	-	2022		Methyl-accepting chemotaxis signal transduction protein	PLF_209_00000161	PGF_01872383
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.88	HP0083	88833	89222	-	390	rpsI	SSU ribosomal protein S9p (S16e)	PLF_209_00000320	PGF_00049909
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.89	HP0084	89219	89644	-	426	rplM	LSU ribosomal protein L13p (L13Ae)	PLF_209_00000392	PGF_06180597
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.90	HP0085	89957	90145	-	189		hypothetical protein	PLF_209_00001203	PGF_01868843
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.91	HP0086	90152	91504	-	1353		Malate:quinone oxidoreductase (EC 1.1.5.4)	PLF_209_00000547	PGF_00018970
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.92	HP0087	91558	92931	-	1374		probable exported protein STY2149	PLF_209_00000571	PGF_09885268
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.93	HP0088	92952	94967	-	2016		RNA polymerase sigma factor RpoD	PLF_209_00000196	PGF_07072582
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.94	HP0089	95191	95886	-	696		Aminodeoxyfutalosine nucleosidase (EC 3.2.2.30)	PLF_209_00000890	PGF_00053048
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.95	HP0090	95897	96826	-	930		Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	PLF_209_00000976	PGF_06655223
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	tRNA	fig|85962.8.rna.7		96959	97050	+	92		tRNA-Ser-GCT		
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.96	HP0091	97256	98089	+	834		Type II restriction enzyme MjaIII (EC 3.1.21.4)	PLF_209_00001344	PGF_00063319
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.97	HP0092	98083	98916	+	834		type II restriction enzyme M protein (hsdM)	PLF_209_00003638	PGF_01885781
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.98	HP0093	98936	99376	-	441		putative ALPHA(1,2)FUCOSYLTRANSFERASE	PLF_209_00001246	PGF_00405674
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.99	HP0094	99373	99840	-	468		putative ALPHA(1,2)FUCOSYLTRANSFERASE	PLF_209_00001455	PGF_00405674
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.100	HP0095	99939	100469	-	531		hypothetical protein	PLF_209_00001138	PGF_01868346
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.101	HP0096	100542	101486	+	945		Keto-acid dehydrogenase	PLF_209_00023860	PGF_01876949
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.102	HP0097	101643	102356	-	714		hypothetical protein	PLF_209_00000962	PGF_01889211
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.103	HP0098	102461	103921	-	1461		Threonine synthase (EC 4.2.3.1)	PLF_209_00000376	PGF_03316046
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.104	HP0099	104125	106152	+	2028		methyl-accepting chemotaxis protein (tlpA)	PLF_209_00000750	PGF_00401258
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.105	HP0100	106152	107258	+	1107		Epoxyqueuosine reductase (EC 1.17.99.6) QueH / hypothetical domain	PLF_209_00000896	PGF_01878050
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.106	HP0101	107471	108232	+	762		hypothetical protein	PLF_209_00000817	PGF_01888189
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.107	HP0102	108215	108994	-	780		Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase	PLF_209_00001250	PGF_01886027
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.108	HP0103	109025	110719	-	1695		Methyl-accepting chemotaxis protein	PLF_209_00000921	PGF_07849456
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.109		110779	110895	+	117		hypothetical protein	PLF_209_00035429	PGF_01885992
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.110	HP0104	110928	112673	-	1746		2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)	PLF_209_00000738	PGF_00732567
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.111		112706	112831	-	126		hypothetical protein	PLF_209_00003447	PGF_01885715
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.112	HP0105	112828	113295	-	468		S-ribosylhomocysteine lyase (EC 4.4.1.21) @ Autoinducer-2 production protein LuxS	PLF_209_00001128	PGF_00049433
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.113	HP0106	113333	114475	-	1143		Cystathionine gamma-lyase (EC 4.4.1.1)	PLF_209_00000717	PGF_05950073
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.114	HP0107	114500	115417	-	918		Cystathionine beta-synthase (EC 4.2.1.22)	PLF_209_00000893	PGF_00760084
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.115	HP0108	115531	116019	+	489		hypothetical protein	PLF_209_00001271	PGF_01869213
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.116	HP0109	116362	118224	-	1863	dnaK	Chaperone protein DnaK	PLF_209_00000191	PGF_10357457
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.117	HP0110	118254	118823	-	570		Heat shock protein GrpE	PLF_209_00000651	PGF_03751823
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.118	HP0111	118823	119653	-	831		Heat-inducible transcription repressor HrcA	PLF_209_00001058	PGF_08184693
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.119	HP0112	120046	120675	+	630		hypothetical protein	PLF_209_00001020	PGF_01867315
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.120	HP0113	120696	120992	+	297		hypothetical protein	PLF_209_00001196	PGF_01868831
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.121	HP0114	121002	122888	-	1887		Motility accessory factor	PLF_209_00000151	PGF_00022667
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.122	HP0115	122948	124492	-	1545		Flagellin	PLF_209_00000364	PGF_00005635
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.123	HP0116	124658	126868	+	2211		DNA topoisomerase I (EC 5.99.1.2)	PLF_209_00000114	PGF_10300474
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.124	HP0117	126861	127787	+	927		Radical SAM domain protein	PLF_209_00000956	PGF_01886836
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.125	HP0118	127931	128908	-	978		hypothetical protein	PLF_209_00000003	PGF_08225224
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.126	HP0119	129383	130507	-	1125		hypothetical protein	PLF_209_00000003	PGF_08225224
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.127		130605	130772	+	168		hypothetical protein	PLF_209_00001552	PGF_01871785
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.128	HP0120	131053	132249	-	1197		hypothetical protein	PLF_209_00000003	PGF_08225224
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.129	HP0121	132346	134784	-	2439		Phosphoenolpyruvate synthase (EC 2.7.9.2)	PLF_209_00000057	PGF_05438553
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.130	HP0122	134986	135102	+	117		hypothetical protein	PLF_209_00001143	PGF_01868395
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.131	HP0123	135142	136980	+	1839	thrS	Threonyl-tRNA synthetase (EC 6.1.1.3)	PLF_209_00000270	PGF_01175575
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.132	HP0124	136995	137588	+	594	infC	Translation initiation factor 3	PLF_209_00000377	PGF_00060478
85962.8	Helicobacter pylori 26695	NC_000915	PATRIC	CDS	fig|85962.8.peg.133	HP0125	137569	137763	+	195	rpmI	LSU ribosomal protein L35p	PLF_209_00000491	PGF_03818138
